DistrictCode,SchoolCode,CountyCode,CountyName,DistrictName,SchoolName,SchoolType,TypeLabel,MathScore,ReadingWritingScore,TotalScore,DistrictMedianIncome
5090,050,39,UNION,SUMMIT CITY,SUMMIT HIGH SCHOOL,Public,3,597,597,1194,132443
5150,050,3,BERGEN,TEANECK TOWNSHIP,TEANECK HIGH SCHOOL,Public,3,537,545,1082,106411
5160,050,3,BERGEN,TENAFLY BOROUGH,TENAFLY HIGH SCHOOL,Public,3,672,653,1325,153906
5190,030,29,OCEAN,TOMS RIVER REGIONAL,TOMS RIVER HIGH SCHOOL EAST,Public,3,553,551,1104,75500
5190,040,29,OCEAN,TOMS RIVER REGIONAL,TOMS RIVER HIGH SCHOOL NORTH,Public,3,577,560,1137,75500
5190,050,29,OCEAN,TOMS RIVER REGIONAL,TOMS RIVER HIGH SCHOOL SOUTH,Public,3,550,553,1103,75500
5210,050,21,MERCER,TRENTON CITY,TRENTON CENTRAL HIGH SCHOOL - MAIN CAMPUS,Public,3,427,443,870,35524
5210,051,21,MERCER,TRENTON CITY,TRENTON CENTRAL HIGH SCHOOL - WEST CAMPUS,Public,3,437,452,889,35524
5240,055,17,HUDSON,UNION CITY,UNION CITY HIGH SCHOOL,Public,3,482,475,957,43424
5290,050,39,UNION,UNION TOWNSHIP,UNION SENIOR HIGH,Public,3,525,524,1049,79324
5310,050,25,MONMOUTH,UPPER FREEHOLD REGIONAL,ALLENTOWN HIGH SCHOOL,Public,3,585,578,1163,123375
5360,020,37,SUSSEX,VERNON TOWNSHIP,VERNON TOWNSHIP HIGH SCHOOL,Public,3,575,567,1142,90805
5370,050,13,ESSEX,VERONA BOROUGH,VERONA HIGH SCHOOL,Public,3,591,594,1185,113423
5390,050,11,CUMBERLAND,VINELAND CITY,VINELAND SENIOR HIGH SCHOOL,Public,3,508,508,1016,51113
5410,030,3,BERGEN,WALDWICK BOROUGH,WALDWICK HIGH SCHOOL,Public,3,569,561,1130,115591
5420,050,25,MONMOUTH,WALL TOWNSHIP,WALL HIGH SCHOOL,Public,3,569,574,1143,101983
5430,050,3,BERGEN,WALLINGTON BOROUGH,WALLINGTON JUNIOR SENIOR HIGH SCHOOL,Public,3,541,542,1083,62648
5500,010,15,GLOUCESTER,WASHINGTON TOWNSHIP,WASHINGTON TOWNSHIP HIGH SCHOOL,Public,3,549,559,1108,67143
5570,055,31,PASSAIC,WAYNE TOWNSHIP,WAYNE HILLS HIGH SCHOOL,Public,3,584,577,1161,108092
5570,050,31,PASSAIC,WAYNE TOWNSHIP,WAYNE VALLEY HIGH SCHOOL,Public,3,580,576,1156,108092
5580,050,17,HUDSON,WEEHAWKEN TOWNSHIP,WEEHAWKEN HIGH SCHOOL,Public,3,525,542,1067,84841
5620,050,15,GLOUCESTER,WEST DEPTFORD TOWNSHIP,WEST DEPTFORD HIGH SCHOOL,Public,3,544,554,1098,71705
5650,040,31,PASSAIC,WEST MILFORD TOWNSHIP,WEST MILFORD HIGH SCHOOL,Public,3,546,563,1109,98843
5670,050,17,HUDSON,WEST NEW YORK TOWN,MEMORIAL HIGH SCHOOL,Public,3,489,484,973,50477
5680,050,13,ESSEX,WEST ORANGE TOWN,WEST ORANGE HIGH SCHOOL,Public,3,530,549,1079,93954
5730,050,39,UNION,WESTFIELD TOWN,WESTFIELD SENIOR HIGH SCHOOL,Public,3,620,616,1236,159923
5755,050,3,BERGEN,WESTWOOD REGIONAL,WESTWOOD JUNIOR/SENIOR HIGH SCHOOL,Public,3,575,570,1145,106449
5790,050,9,CAPE MAY,WILDWOOD CITY,WILDWOOD HIGH SCHOOL,Public,3,502,478,980,29945
5820,010,7,CAMDEN,WINSLOW TOWNSHIP,WINSLOW TOWNSHIP HIGH SCHOOL,Public,3,496,512,1008,76640
5850,020,23,MIDDLESEX,WOODBRIDGE TOWNSHIP,COLONIA HIGH SCHOOL,Public,3,542,531,1073,83266
5850,040,23,MIDDLESEX,WOODBRIDGE TOWNSHIP,JOHN F. KENNEDY HIGH SCHOOL,Public,3,562,546,1108,83266
5850,050,23,MIDDLESEX,WOODBRIDGE TOWNSHIP,WOODBRIDGE HIGH SCHOOL,Public,3,538,523,1061,83266
5860,050,15,GLOUCESTER,WOODBURY CITY,WOODBURY JR-SR HIGH SCHOOL,Public,3,491,502,993,53618
5830,050,3,BERGEN,WOOD-RIDGE BOROUGH,WOOD-RIDGE JR/SR HIGH SCHOOL,Public,3,563,557,1120,102283
