address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zipcode
Address: 591 29th Avenue,2.5,3,1800,11/20/2015,1750000,37.778174,-122.489141,Central Richmond,7,SingleFamily,1936,94121
Address: 1466 44th Avenue,1,2,1130,11/20/2015,892000,37.759294,-122.50337,Outer Sunset,5,SingleFamily,1926,94122
Address: 1422 42nd Avenue,1,3,1325,11/20/2015,1220000,37.760143,-122.501274,Outer Sunset,6,SingleFamily,1951,94122
Address: 1795 Green Street,2,3,1647,11/20/2015,2500000,37.79678,-122.428519,Pacific Heights,6,Condominium,1908,94123
Address: 52 Marne Avenue,2.5,4,1648,11/20/2015,1300000,37.739544,-122.459379,Miraloma Park,6,SingleFamily,1926,94127
Address: 80 Edgehill Way,4,4,3495,11/20/2015,2385000,37.742482,-122.460233,Forest Hill Extension,9,SingleFamily,1960,94127
Address: 277 Bemis Street,1,2,950,11/20/2015,1150000,37.73585,-122.432123,Glen Park,4,SingleFamily,1956,94131
Address: 404 Gold Mine Drive,3,4,2271,11/20/2015,1555000,37.739284,-122.438555,Diamond Heights,9,SingleFamily,1967,94131
Address: 3981 Alemany Boulevard #206,1,1,670,11/20/2015,515000,37.71048,-122.467645,Ingleside Heights,3,Condominium,2002,94132
Address: 101 Crescent Way #2102,2,2,1063,11/20/2015,488000,37.710918,-122.389238,Bayview,5,Condominium,2001,94134
Address: 155 Somerset Street,1,2,1550,11/20/2015,975000,37.72958,-122.408459,Portola,5,SingleFamily,1937,94134
Address: 262 Castro Street,2,2,848,11/20/2015,1700000,37.764602,-122.435716,Corona Heights,4,SingleFamily,1906,94114
Address: 1483 Sutter Street #1102,1,1,650,11/19/2015,690000,37.78675,-122.424235,Van Ness - Civic Center,3,Condominium,1993,94109
Address: 630 Precita Avenue,2,5,1675,11/19/2015,1083500,37.747591,-122.40874,Bernal Heights,8,SingleFamily,1905,94110
Address: 1573 34th Avenue,2,3,2400,11/19/2015,1625000,37.757766,-122.493171,Central Sunset,6,SingleFamily,1933,94122
Address: 315 Moraga Street,3,3,1942,11/19/2015,1667500,37.756514,-122.466064,Inner Sunset,8,Condominium,2012,94122
Address: 2091 Bancroft Avenue,3,4,2350,11/19/2015,860000,37.730545,-122.402057,Silver Terrace,8,SingleFamily,1992,94124
Address: 501 Beale Street #9H,2,2,1161,11/18/2015,1950100,37.786235,-122.389068,South Beach,4,Condominium,2006,94105
Address: 2600 18th Street #22,2,2,1662,11/18/2015,1250000,37.762136,-122.408479,Mission,5,Condominium,1999,94110
Address: 797 Athens Street,1,2,925,11/18/2015,570000,37.715461,-122.432755,Excelsior,4,SingleFamily,1908,94112
Address: 356 20th Avenue,3,4,2256,11/18/2015,1650000,37.781204,-122.479389,Central Richmond,8,Condominium,2010,94121
Address: 1459 31st Avenue,2,4,2281,11/18/2015,1290000,37.760017,-122.490103,Central Sunset,8,SingleFamily,1937,94122
Address: 1216 28th Avenue,2.5,5,2666,11/18/2015,2021500,37.764647,-122.486547,Central Sunset,8,SingleFamily,1924,94122
Address: 76 Jennings Court,2,3,1212,11/18/2015,575000,37.717061,-122.397018,Bayview,6,Condominium,1995,94124
Address: 656 Teresita Boulevard,2,3,1218,11/18/2015,1230000,37.736383,-122.446101,Miraloma Park,6,SingleFamily,1940,94127
Address: 5553 Diamond Heights Boulevard,2.5,3,1890,11/18/2015,1220000,37.738774,-122.43632,Glen Park,6,SingleFamily,1969,94131
Address: 147 Stillings Avenue,2,3,1700,11/18/2015,1300000,37.734342,-122.443147,Miraloma Park,5,SingleFamily,1942,94131
Address: 1070 Green Street #201,2,2,1465,11/18/2015,2900000,37.798792,-122.416797,Russian Hill,5,Condominium,1963,94133
Address: 380 10th Street #27,2,2,1305,11/17/2015,1150000,37.771683,-122.411809,South of Market,5,Condominium,2004,94103
Address: 2250 24th Street #223,1,2,839,11/17/2015,640000,37.753905,-122.40202,Potrero Hill,4,Condominium,1989,94107
Address: 3615 22nd Street,2.5,3,1519,11/17/2015,1475000,37.754704,-122.428164,Eureka Valley - Dolores Heights - Castro,7,Condominium,1911,94114
Address: 429 Liberty Street,2,2,1990,11/17/2015,2650000,37.756871,-122.430875,Eureka Valley - Dolores Heights - Castro,7,SingleFamily,1907,94114
Address: 22 22nd Avenue,1.5,2,2250,1/3/2013,1310000,37.784735,-122.481516,Lake,7,SingleFamily,1914,94121
Address: 1314 Palou Avenue,3,4,1275,11/17/2015,780000,37.731189,-122.385454,Bayview,5,SingleFamily,1941,94124
Address: 1635 Plymouth Avenue,3,4,2754,11/17/2015,1800000,37.731667,-122.457878,Westwood Highlands,7,SingleFamily,1925,94127
Address: 256 Glenview Drive,2,3,1213,11/17/2015,1192500,37.748056,-122.445877,Midtown Terrace,6,SingleFamily,1958,94131
Address: 125 Gilbert Street #17,1.5,1,1047,11/16/2015,875000,37.773223,-122.401916,South of Market,1,Condominium,1996,94103
Address: 301 Main Street #T23C,1,1,809,11/16/2015,1425000,37.789333,-122.391698,South Beach,3,Condominium,2008,94105
Address: 88 King Street #419,2,2,1115,11/16/2015,1250000,37.78063,-122.389635,South Beach,4,Condominium,2000,94107
Address: 177 Townsend Street #527,2,2,1019,11/16/2015,1300000,37.77898,-122.391754,South Beach,4,Condominium,2007,94107
Address: 260 King Street #1205,2,2,1488,11/16/2015,1475000,37.777191,-122.393394,South of Market,4,Condominium,2004,94107
Address: 1101 Green Street #303,1,2,1003,11/16/2015,1210000,37.798234,-122.417394,Russian Hill,4,Condominium,1930,94109
Address: 1257 Dolores Street #A,1,1,950,11/16/2015,860000,37.749335,-122.424491,Mission,5,Condominium,1910,94110
Address: 1912 Golden Gate Avenue,2,3,1154,11/16/2015,1775000,37.7785,-122.442563,North Panhandle,5,SingleFamily,1900,94115
Address: 2440 Bush Street #C,2.5,3,1810,11/16/2015,2000000,37.786788,-122.437531,Lower Pacific Heights,9,Condominium,1985,94115
Address: 2955 Pacific Avenue,2,3,2160,11/16/2015,3650000,37.7919,-122.443975,Pacific Heights,6,Condominium,1995,94115
Address: 472 12th Avenue,1,2,1508,11/16/2015,1250000,37.779371,-122.470275,Inner Richmond,6,Condominium,1931,94118
Address: 2341 Francisco Street,3,2,1500,11/16/2015,1575000,37.800533,-122.44374,Marina,5,Condominium,1927,94123
Address: 15 Scotia Avenue,2,3,1482,11/16/2015,868000,37.734337,-122.401708,Silver Terrace,5,SingleFamily,1936,94124
Address: 48 Dellbrook Avenue,1,2,1056,11/16/2015,850000,37.74992,-122.454366,Midtown Terrace,5,SingleFamily,1956,94131
Address: 288 Bemis Street,2,2,1263,11/16/2015,1450000,37.736136,-122.432406,Glen Park,6,SingleFamily,1908,94131
Address: 400 Head Street,1,2,1162,11/16/2015,700000,37.71444,-122.464169,Ingleside Heights,5,SingleFamily,1946,94132
Address: 1360 Montgomery Street #1,1,1,552,11/16/2015,720000,37.801802,-122.404269,Telegraph Hill,2,Condominium,1937,94133
Address: 1150 Bowdoin Street,1,3,924,11/16/2015,770000,37.72152,-122.409051,Portola,7,SingleFamily,1951,94134
Address: 300 Berry Street #1212,2,2,966,11/16/2015,1230000,37.773929,-122.39624,South of Market,5,Condominium,2009,94158
Address: 1839 15th Street #356,1,1,897,11/13/2015,853000,37.765474,-122.424915,Mission,3,Condominium,1983,94103
Address: 425 14th Street #4,2.5,2,1328,11/13/2015,1500000,37.767836,-122.422803,Mission,6,Condominium,2001,94103
Address: 2548 Hyde Street,1.5,3,1362,11/13/2015,1535000,37.804429,-122.420036,Russian Hill,6,Condominium,1908,94109
Address: 955 Excelsior Avenue,4,4,2134,11/13/2015,1150000,37.722655,-122.425573,Excelsior,7,SingleFamily,2005,94112
Address: 849 Sanchez Street,3.5,3,2935,11/13/2015,4100000,37.75572,-122.429819,Eureka Valley - Dolores Heights - Castro,9,SingleFamily,1938,94114
Address: 724 Masonic Avenue,1,1,420,2/28/2014,412000,37.774444,-122.445869,North Panhandle,2,Condominium,1912,94117
Address: 286 27th Avenue,1,2,1367,11/13/2015,950000,37.784078,-122.48693,Lake,5,Condominium,1924,94121
Address: 1351 10th Avenue,1,2,1152,11/13/2015,1665000,37.76301,-122.467642,Inner Sunset,5,SingleFamily,1940,94122
Address: 1027 Ingerson Avenue,2,3,1430,11/13/2015,375000,37.719206,-122.393725,Bayview,7,SingleFamily,1929,94124
Address: 1939 Quesada Avenue,1.5,2,875,11/13/2015,705000,37.735715,-122.396123,Silver Terrace,4,SingleFamily,1947,94124
Address: 112 Chenery Street,2,3,1235,11/13/2015,1680000,37.73954,-122.425828,Glen Park,5,SingleFamily,1927,94131
Address: 1533 Sutter Street,7.5,6,7375,11/12/2015,5530000,37.786658,-122.426481,Lower Pacific Heights,16,SingleFamily,1890,94109
Address: 819 Francisco Street,3.5,2,2040,11/12/2015,5600000,37.803728,-122.419055,Russian Hill,7,SingleFamily,1976,94109
Address: 979 Dolores Street,2,3,1405,11/12/2015,1875000,37.753745,-122.424926,Mission,7,Condominium,1907,94110
Address: 265 Minerva Street,1.5,2,967,11/12/2015,659000,37.715491,-122.461202,Oceanview,5,SingleFamily,1940,94112
Address: 886 30th Avenue,3,2,1990,11/12/2015,1380000,37.772625,-122.48928,Central Richmond,6,SingleFamily,1929,94121
Address: 255 Corona Street,3,3,3027,11/12/2015,2105000,37.726278,-122.467069,Ingleside Terrace,8,SingleFamily,1922,94127
Address: 135 Red Rock Way #112L,1,1,830,11/12/2015,685000,37.746221,-122.441968,Diamond Heights,3,Condominium,1972,94131
Address: 1907 Leavenworth Street #8,1,2,956,11/12/2015,908000,37.798645,-122.4175,Russian Hill,5,Condominium,1907,94133
Address: 8 Octavia Street,2,2,1001,3/13/2015,2599000,37.772548,-122.423362,Hayes Valley,5,Condominium,2014,94102
Address: 50 Lansing Street #313,1,1,789,11/10/2015,845000,37.786148,-122.394291,South Beach,4,Condominium,2006,94105
Address: 77 Dow Place #507,2,1,1075,11/10/2015,950000,37.784195,-122.396605,Yerba Buena,4,Condominium,2002,94107
Address: 250 King Street #746,2,2,1083,11/10/2015,1110000,37.777645,-122.39343,South of Market,4,Condominium,2004,94107
Address: 1950 Gough Street #405,1,1,950,11/10/2015,1095000,37.791558,-122.425677,Pacific Heights,4,Condominium,1926,94109
Address: 199 Tiffany Avenue #202,2,2,1118,11/10/2015,1190000,37.744274,-122.42134,Bernal Heights,5,Condominium,2004,94110
Address: 3709 25th Street,1,2,1160,11/10/2015,1375000,37.750214,-122.423153,Mission,5,SingleFamily,1925,94110
Address: 284 Howth Street,1,2,1280,11/10/2015,718000,37.719944,-122.451772,Ingleside,5,SingleFamily,1930,94112
Address: 456 Elizabeth Street,2,2,1410,11/10/2015,2250000,37.752523,-122.431083,Noe Valley,5,SingleFamily,1934,94114
Address: 168 Jersey Street,4.5,4,1140,11/10/2015,5700000,37.751043,-122.428983,Noe Valley,5,SingleFamily,1900,94114
Address: 131 Wilmot Street,1,2,828,11/10/2015,1271500,37.787245,-122.43483,Lower Pacific Heights,5,SingleFamily,1900,94115
Address: 1970 Scott Street #4,2,2,1386,11/10/2015,1461500,37.788019,-122.438498,Lower Pacific Heights,5,Condominium,1978,94115
Address: 706 Haight Street,2,2,1463,11/10/2015,1675000,37.771865,-122.43405,Hayes Valley,5,Condominium,1997,94117
Address: 1641 Green Street,4,4,2442,11/10/2015,4150000,37.797039,-122.426092,Pacific Heights,7,SingleFamily,1940,94123
Address: 1546 Innes Avenue,2,2,1629,11/10/2015,665000,37.739068,-122.387681,Bayview,7,SingleFamily,1938,94124
Address: 61 Pinehurst Way,3,5,2730,11/10/2015,1450000,37.727776,-122.4654,Mount Davidson Manor,9,SingleFamily,1928,94127
Address: 154 Yerba Buena Avenue,1.5,2,1700,11/10/2015,2050000,37.736032,-122.462007,St. Francis Wood,6,SingleFamily,1922,94127
Address: 397 Valley Street,1,2,931,11/10/2015,1125000,37.744121,-122.4309,Noe Valley,5,Condominium,1950,94131
Address: 1793 Sanchez Street,4,4,2110,11/10/2015,2257000,37.740271,-122.428447,Glen Park,8,SingleFamily,1900,94131
Address: 43 Everson Street,3.5,6,4305,11/10/2015,2350000,37.738321,-122.430068,Glen Park,10,SingleFamily,1965,94131
Address: 229 Brannan Street #9J,2,2,1412,11/9/2015,1850000,37.782575,-122.390364,South Beach,5,Condominium,2001,94107
Address: 715 Amazon Avenue,2.5,3,2146,11/9/2015,1300000,37.715135,-122.434045,Excelsior,8,SingleFamily,1922,94112
Address: 62 Havelock Street,4.5,4,3500,11/9/2015,1600000,37.727044,-122.442809,Mission Terrace,11,SingleFamily,1923,94112
Address: 2439 44th Avenue,1,2,962,11/9/2015,950000,37.741095,-122.502753,Outer Parkside,4,SingleFamily,1947,94116
Address: 640 Teresita Boulevard,2,3,1868,11/9/2015,1650000,37.736655,-122.446003,Miraloma Park,7,SingleFamily,1940,94127
Address: 14 Hearst Avenue,1,2,1260,11/9/2015,1175000,37.730982,-122.438814,Sunnyside,6,SingleFamily,1939,94131
Address: 8 Addison Street,2.5,3,1655,11/9/2015,1700000,37.738047,-122.429828,Glen Park,6,SingleFamily,1965,94131
Address: 750 2nd Street #801,2.5,2,1960,11/6/2015,2750000,37.780006,-122.390274,South Beach,5,Condominium,2012,94107
Address: 1177 California Street #1414,2.5,2,1399,11/6/2015,1400000,37.791089,-122.413658,Downtown,4,Mobile,1978,94108
Address: 15 Prospect Avenue,4,4,1925,11/6/2015,950000,37.745144,-122.417366,Bernal Heights,12,Duplex,1900,94110
Address: 3451 18th Street,1,3,1200,11/6/2015,1200000,37.761561,-122.420494,Mission,5,Condominium,1916,94110
Address: 3663 Folsom Street,4,3,1267,11/6/2015,2070000,37.740501,-122.413101,Bernal Heights,7,SingleFamily,1962,94110
Address: 139 Lobos Street,1,2,781,11/6/2015,495000,37.714666,-122.45725,Oceanview,4,SingleFamily,1946,94112
Address: 44 Holloway Avenue,1,2,878,11/18/2015,638500,37.722072,-122.453855,Ingleside,5,SingleFamily,1901,94112
Address: 1301 Waller Street #A,1,1,634,11/6/2015,710000,37.769058,-122.445228,Haight-Ashbury,2,Condominium,1908,94117
Address: 2915 Judah Street,1,2,800,11/6/2015,760000,37.760729,-122.493414,Central Sunset,4,SingleFamily,1944,94122
Address: 1491 Palou Avenue,2,3,1170,11/6/2015,830000,37.732604,-122.389021,Bayview,5,SingleFamily,1925,94124
Address: 926 Teresita Boulevard,1,3,1381,11/6/2015,1551000,37.734383,-122.446667,Miraloma Park,5,SingleFamily,1939,94127
Address: 231 Mangels Avenue,2,3,1354,11/10/2015,1400000,37.732878,-122.442869,Sunnyside,6,SingleFamily,1957,94131
Address: 650 2nd Street #304,1.5,1,1798,11/5/2015,1475000,37.78096,-122.391555,South Beach,2,Condominium,1996,94107
Address: 227 Precita Avenue,2,3,2250,11/5/2015,522000,37.747661,-122.415584,Bernal Heights,9,MultiFamily2To4,1924,94110
Address: 570 Lisbon Street,3,2,2253,11/5/2015,800000,37.719463,-122.435866,Excelsior,13,SingleFamily,1922,94112
Address: 2209 Pacific Avenue,8.5,5,5894,11/5/2015,9950000,37.793434,-122.431918,Pacific Heights,11,SingleFamily,1915,94115
Address: 2259 28th Avenue,1,3,2228,11/5/2015,1055000,37.745247,-122.485847,Parkside,8,SingleFamily,1939,94116
Address: 2287 16th Avenue,2,4,2230,11/5/2015,1250000,37.745324,-122.473123,Inner Parkside,8,SingleFamily,1926,94116
Address: 2829 Pierce Street,4,6,3766,11/5/2015,2750000,37.796168,-122.439036,Cow Hollow,12,MultiFamily2To4,1949,94123
Address: 172 Cervantes Boulevard,3.5,4,2500,11/5/2015,4250000,37.804874,-122.440202,Marina,8,SingleFamily,1926,94123
Address: 231 Molimo Drive,2,3,1060,11/5/2015,1010000,37.736611,-122.449969,Miraloma Park,5,SingleFamily,1952,94127
Address: 857 Colby Street,1,2,836,11/5/2015,450000,37.719891,-122.409904,Portola,4,SingleFamily,1951,94134
Address: 325 Berry Street #108,2.5,2,1247,11/5/2015,1351000,37.773387,-122.395759,South of Market,5,Condominium,2007,94158
Address: 1591 Jackson Street #305,1,1,668,11/4/2015,625000,37.793914,-122.421037,Nob Hill,3,Condominium,1986,94109
Address: 3635 20th Street,3,6,4000,11/4/2015,8125000,37.75821,-122.422029,Mission,10,SingleFamily,1900,94110
Address: 266 South Hill Boulevard,2,3,1592,11/4/2015,1135000,37.709243,-122.430315,Crocker Amazon,8,SingleFamily,1926,94112
Address: 1469 Clayton Street,2,3,1943,11/4/2015,1950000,37.758352,-122.445118,Twin Peaks,6,Condominium,2009,94114
Address: 2327 Bush Street,3.5,3,2082,11/4/2015,2410000,37.786709,-122.435622,Lower Pacific Heights,7,Condominium,1890,94115
Address: 151 7th Avenue,1,3,1199,11/4/2015,1200000,37.785644,-122.466018,Lake,5,Condominium,1908,94118
Address: 135 Locust Street,3.5,4,2150,11/4/2015,5410000,37.789745,-122.452704,Presidio Heights,8,SingleFamily,1906,94118
Address: 3826 Lawton Street,1,2,950,11/4/2015,910000,37.757009,-122.504075,Outer Sunset,5,SingleFamily,1947,94122
Address: 1844 Greenwich Street,3,3,2251,11/4/2015,2682000,37.799971,-122.430127,Cow Hollow,7,Condominium,1910,94123
Address: 233 Topeka Avenue,1,2,887,11/4/2015,720000,37.732938,-122.396855,Silver Terrace,4,SingleFamily,1927,94124
Address: 855 Barneveld Avenue,1,3,1339,11/4/2015,750000,37.732501,-122.406771,Portola,6,SingleFamily,1948,94134
Address: 425 1st Street #2106,2,2,1238,11/3/2015,1675000,37.786064,-122.392173,South Beach,4,Condominium,2008,94105
Address: 451 Kansas Street #378,1,1,700,11/3/2015,749000,37.76408,-122.403289,Potrero Hill,3,Condominium,2007,94107
Address: 247 Connecticut Street,1,2,958,11/3/2015,870000,37.76314,-122.39725,Potrero Hill,4,Condominium,1908,94107
Address: 1133 Wisconsin Street,1,2,793,11/3/2015,895000,37.75309,-122.398225,Potrero Hill,4,SingleFamily,1939,94107
Address: 278 Clara Street,2,3,1462,11/3/2015,1000000,37.778225,-122.404223,South of Market,5,SingleFamily,1916,94107
Address: 1810 Polk Street #1,1,1,778,11/3/2015,850000,37.793685,-122.420944,Nob Hill,3,Condominium,2006,94109
Address: 1950 Gough Street #304,1,1,1040,11/3/2015,1227000,37.791558,-122.425677,Pacific Heights,4,Condominium,1926,94109
Address: 1402 South Van Ness Avenue,3,3,1737,11/3/2015,1500000,37.750633,-122.416359,Mission,6,Condominium,1999,94110
Address: 749 Guerrero Street,1.5,4,1575,11/3/2015,1637500,37.759217,-122.423275,Mission,6,SingleFamily,1909,94110
Address: 102 Greenwood Avenue,1,3,1395,11/3/2015,1215000,37.728938,-122.455843,Westwood Park,7,SingleFamily,1920,94112
Address: 173 Hartford Street #A,1,2,1027,11/3/2015,981000,37.759752,-122.433532,Eureka Valley - Dolores Heights - Castro,5,Condominium,1900,94114
Address: 4318 17th Street #1,3,3,1720,11/3/2015,1388000,37.762344,-122.440974,Corona Heights,5,Condominium,1989,94114
Address: 246 Eureka Street,1.5,2,1764,11/3/2015,1800000,37.758272,-122.438354,Eureka Valley - Dolores Heights - Castro,6,SingleFamily,1905,94114
Address: 1001 Ashbury Street,5,4,3423,11/3/2015,3295000,37.764403,-122.446216,Parnassus - Ashbury,8,SingleFamily,1928,94117
Address: 29 Park Hill Avenue,4,5,3000,11/3/2015,4100000,37.767666,-122.438952,Buena Vista Park,10,SingleFamily,1927,94117
Address: 2286 Filbert Street,1.5,2,1160,11/3/2015,1225000,37.79804,-122.437085,Cow Hollow,6,Condominium,1905,94123
Address: 1456 Chestnut Street #2,2,3,1670,11/3/2015,2200000,37.802234,-122.42736,Marina,6,Condominium,2013,94123
Address: 3260 Baker Street,2,3,1856,11/3/2015,2800000,37.801279,-122.446321,Marina,6,SingleFamily,1954,94123
Address: 2869 Broderick Street,3,4,2670,11/3/2015,3300000,37.796796,-122.444179,Cow Hollow,8,SingleFamily,1910,94123
Address: 358 Ulloa Street,2,3,1047,11/3/2015,1205000,37.741867,-122.457902,Forest Hill Extension,4,SingleFamily,1956,94127
Address: 3840 Market Street #202,1.5,2,936,11/3/2015,830000,37.753095,-122.442945,Twin Peaks,4,Condominium,1979,94131
Address: 487 Princeton Street,1,2,1050,11/3/2015,775000,37.723829,-122.413818,Portola,4,SingleFamily,1949,94134
Address: 177 Townsend Street #427,2,2,1011,11/2/2015,1310000,37.77898,-122.391769,South Beach,4,Condominium,2007,94107
Address: 229 Brannan Street #8J,2,2,1412,11/2/2015,1810000,37.782575,-122.390364,South Beach,5,Condominium,2001,94107
Address: 2040 Franklin Street #506,1,0,791,11/2/2015,540000,37.793519,-122.424316,Pacific Heights,3,Condominium,1966,94109
Address: 2725 20th Street,1,2,665,11/2/2015,975000,37.759114,-122.408479,Mission,4,SingleFamily,1906,94110
Address: 124 Danvers Street,2,3,1865,11/2/2015,1680000,37.759861,-122.443374,Eureka Valley - Dolores Heights - Castro,5,SingleFamily,1935,94114
Address: 59 Mars Street,2,2,1600,11/2/2015,1800000,37.761217,-122.444406,Corona Heights,4,SingleFamily,1926,94114
Address: 1805 Fillmore Street #305,2,2,1129,11/2/2015,1125000,37.786253,-122.433645,Lower Pacific Heights,6,Condominium,1986,94115
Address: 1983 44th Avenue,1,2,1162,11/2/2015,950000,37.749669,-122.503271,Outer Parkside,5,SingleFamily,1947,94116
Address: 612 26th Avenue,1,2,1181,11/2/2015,1008000,37.777782,-122.485586,Central Richmond,6,Condominium,1923,94121
Address: 51 Molimo Drive,2,3,1194,11/2/2015,1250000,37.736387,-122.447011,Miraloma Park,6,SingleFamily,1952,94127
Address: 1315 Monterey Boulevard,2.5,4,3345,11/2/2015,2350000,37.730578,-122.46357,Mount Davidson Manor,10,SingleFamily,1928,94127
Address: 574 Dellbrook Avenue,2,3,1054,11/2/2015,1200000,37.756052,-122.453242,Midtown Terrace,5,SingleFamily,1958,94131
Address: 251 14th Street,1.5,3,1526,10/30/2015,1024000,37.768138,-122.418914,Mission,6,Condominium,1907,94103
Address: 48 Langton Street #2,3,2,1274,10/30/2015,1400000,37.776798,-122.409263,South of Market,7,Condominium,2009,94103
Address: 400 Beale Street #1504,1,1,832,10/30/2015,778000,37.78691,-122.390925,South Beach,4,Condominium,2002,94105
Address: 246 2nd Street #1408,1,1,670,10/30/2015,799000,37.78575,-122.397404,Yerba Buena,3,Condominium,2000,94105
Address: 81 Lansing Street #407,1,1,1085,10/30/2015,1140000,37.78565,-122.394039,South Beach,4,Condominium,1995,94105
Address: 1301 Indiana Street #404,2,3,1476,10/30/2015,1400000,37.754439,-122.390812,Central Waterfront - Dogpatch,5,Condominium,2012,94107
Address: 1 Daniel Burnham Court #904,1,1,745,10/30/2015,325000,37.786755,-122.4225,Van Ness - Civic Center,3,Condominium,1988,94109
Address: 128 Ripley Street #1,3,2,1553,10/30/2015,1250000,37.744025,-122.412246,Bernal Heights,6,Condominium,1981,94110
Address: 3310 19th Street #301,2.5,3,1490,10/30/2015,1510000,37.760504,-122.41732,Mission,9,Condominium,2002,94110
Address: 29 Oakwood Street #15,2,2,1261,10/30/2015,1540000,37.760635,-122.424362,Mission,6,Condominium,2008,94110
Address: 3278 21st Street,3,4,3220,10/30/2015,1550000,37.757133,-122.420647,Mission,11,MultiFamily2To4,1876,94110
Address: 222 Andover Street,3,3,1509,10/30/2015,1650000,37.740084,-122.416625,Bernal Heights,6,SingleFamily,1924,94110
Address: 2405 Folsom Street #4,3.5,3,1844,10/30/2015,1900000,37.758743,-122.414367,Mission,9,Condominium,2008,94110
Address: 2220 Cayuga Avenue,1,2,1375,10/30/2015,575000,37.710147,-122.45504,Outer Mission,5,SingleFamily,1929,94112
Address: 35 Rolph Street,1,2,1350,10/30/2015,920000,37.715623,-122.440734,Crocker Amazon,5,SingleFamily,1925,94112
Address: 19 Del Monte Street,1,3,1800,10/30/2015,960000,37.71607,-122.442897,Outer Mission,6,SingleFamily,1924,94112
Address: 406 Capistrano Avenue,1,2,1125,10/30/2015,1075000,37.725459,-122.439125,Mission Terrace,5,SingleFamily,1925,94112
Address: 221 Eureka Street,1,2,1214,10/30/2015,1150000,37.758687,-122.437755,Eureka Valley - Dolores Heights - Castro,5,Condominium,1908,94114
Address: 4146 22nd Street,1,2,1455,10/31/2015,1787500,37.754417,-122.438462,Eureka Valley - Dolores Heights - Castro,7,SingleFamily,1903,94114
Address: 2614 Buchanan Street #4,1,0,496,10/30/2015,435000,37.794315,-122.43125,Pacific Heights,2,Condominium,1900,94115
Address: 4736 17th Street,2,4,2250,10/30/2015,2600000,37.76197,-122.448508,Parnassus - Ashbury,6,SingleFamily,1911,94117
Address: 6444 Geary Boulevard,1,2,832,10/30/2015,777000,37.780196,-122.488721,Central Richmond,5,Condominium,2006,94121
Address: 4109 Kirkham Street,2,2,1240,10/30/2015,950000,37.758348,-122.504984,Outer Sunset,6,SingleFamily,1909,94122
Address: 1692 20th Avenue,3.5,3,2225,10/30/2015,1111000,37.756244,-122.477389,Central Sunset,7,SingleFamily,2001,94122
Address: 3024 Noriega Street,3,4,2075,10/30/2015,1188000,37.753626,-122.496274,Outer Sunset,8,SingleFamily,1947,94122
Address: 400 Avila Street #202,1,1,581,10/30/2015,825000,37.80504,-122.440515,Marina,3,Condominium,1991,94123
Address: 162 Beverly Street,3,4,1970,10/30/2015,1075000,37.719009,-122.471372,Merced Heights,9,SingleFamily,1956,94132
Address: 439 Lakeshore Drive,2,3,1431,10/30/2015,1300000,37.733268,-122.495037,Lakeshore,6,SingleFamily,1952,94132
Address: 1201 Brussels Street,1,2,956,10/30/2015,725000,37.717472,-122.401311,Visitacion Valley,4,SingleFamily,1959,94134
Address: 865 Dwight Street,1,2,837,10/30/2015,850000,37.721489,-122.410959,Portola,4,SingleFamily,1955,94134
Address: 235 Berry Street #105,2.5,2,1255,10/30/2015,1410000,37.774703,-122.394089,South of Market,5,Condominium,2007,94158
Address: 1635 California Street #44,2,2,915,10/29/2015,991000,37.790184,-122.421348,Van Ness - Civic Center,5,Condominium,2005,94109
Address: 74 Lynch Street,1,2,1040,10/29/2015,1100000,37.795881,-122.4179,Nob Hill,5,Condominium,1906,94109
Address: 27 Roscoe Street,2.5,3,1493,10/29/2015,1398000,37.734176,-122.41861,Bernal Heights,7,SingleFamily,1908,94110
Address: 47 Prospect Avenue,2,3,1660,10/29/2015,1510000,37.744197,-122.417977,Bernal Heights,6,SingleFamily,1917,94110
Address: 161 Bradford Street,2.5,3,2900,10/29/2015,1613000,37.740243,-122.409336,Bernal Heights,10,SingleFamily,2004,94110
Address: 311 Athens Street,1,2,875,10/29/2015,690000,37.722861,-122.427163,Excelsior,4,SingleFamily,1913,94112
Address: 40 Kittredge Terrace,2,3,2270,10/29/2015,2200000,37.777602,-122.450261,Lone Mountain,7,SingleFamily,1937,94118
Address: 2727 Union Street,3.5,4,3675,10/29/2015,6800000,37.795732,-122.444176,Cow Hollow,10,SingleFamily,1911,94123
Address: 151 Westmoorland Drive,1.5,2,1147,10/29/2015,1100000,37.731429,-122.490809,Lakeshore,5,SingleFamily,1951,94132
Address: 582 Chestnut Street,2,2,1050,10/29/2015,1050000,37.803983,-122.412944,North Beach,5,Condominium,1982,94133
Address: 3011 Van Ness Avenue,2,2,2131,10/28/2015,1635000,37.803388,-122.425391,Marina,5,Condominium,1927,94109
Address: 78 Gladys Street,1,3,1025,10/28/2015,1100000,37.739063,-122.423335,Bernal Heights,6,SingleFamily,1907,94110
Address: 275 Vienna Street,1,2,821,10/28/2015,670000,37.723854,-122.4275,Excelsior,5,SingleFamily,1910,94112
Address: 1149 Diamond Street,2,4,2916,10/28/2015,1650000,37.748117,-122.435722,Noe Valley,10,MultiFamily2To4,1953,94114
